1000000 reads considered for genome annotation 
2000000 reads considered for genome annotation 
3000000 reads considered for genome annotation 
         1056012512 function calls (1056010148 primitive calls) in 478.671 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:184(R)
        1    0.000    0.000    0.000    0.000 __init__.py:187(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_float)
        4    0.005    0.001    0.020    0.005 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:201(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:205(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:21(SamtoolsError)
        1    0.000    0.000    0.000    0.000 __init__.py:226(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:243(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:25(FileOrSequence)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:275(FastaReader)
        2    0.039    0.020    0.077    0.038 __init__.py:281(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:294(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:32(SamtoolsDispatcher)
        1    0.000    0.000    0.000    0.000 __init__.py:332(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:35(default_ri2py)
        1    0.000    0.000    0.000    0.000 __init__.py:358(FastqReader)
        1    0.000    0.000    0.000    0.000 __init__.py:359(_FuncPtr)
        1    0.001    0.001    0.003    0.003 __init__.py:38(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        2    0.005    0.003    0.083    0.042 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:400(BowtieReader)
        1    0.000    0.000    0.000    0.000 __init__.py:41(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:435(SolexaExportAlignment)
        1    0.000    0.000    0.002    0.002 __init__.py:44(<module>)
        1    0.001    0.001    0.005    0.005 __init__.py:45(<module>)
    60226    0.025    0.000    0.025    0.000 __init__.py:45(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:461(SolexaExportReader)
        2    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:525(SAM_Reader)
        1    0.000    0.000    0.000    0.000 __init__.py:542(GenomicArrayOfSets)
       23    0.000    0.000    0.000    0.000 __init__.py:57(__init__)
        1    0.000    0.000    0.006    0.006 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:706(VariantCall)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.036    0.036 __init__.py:74(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:807(VCF_Reader)
        1    0.002    0.002    0.002    0.002 __init__.py:84(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:85(GenomicFeature)
        1    0.000    0.000    0.000    0.000 __init__.py:879(WiggleReader)
        1    0.002    0.002    0.269    0.269 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:929(BAM_Reader)
        1    0.000    0.000    0.000    0.000 __init__.py:986(BAM_Writer)
        1    0.000    0.000    0.000    0.000 _datasource.py:148(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:47(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:482(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:70(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
